==4736== NVPROF is profiling process 4736, command: ./sssp32 ../../data/ship_003.mtx
==4736== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==4736== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4736== Profiling application: ./sssp32 ../../data/ship_003.mtx
==4736== Profiling result:
==4736== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,156
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"pcie_total_data_received","PCIe Total Data Received",0,512,60
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_global_loads","Warp level instructions for global loads",3155260,3155260,3155260
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_shared_loads","Warp level instructions for shared loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_global_stores","Warp level instructions for global stores",3804,3804,3804
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
