==11337== NVPROF is profiling process 11337, command: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==11337== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11337== Profiling application: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Profiling result:
==11337== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,170
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"pcie_total_data_received","PCIe Total Data Received",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_global_loads","Warp level instructions for global loads",25426478,25426478,25426478
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_shared_loads","Warp level instructions for shared loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_global_stores","Warp level instructions for global stores",7104,7104,7104
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_shared_stores","Warp level instructions for shared stores",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
